region,price,manufacturer,model,cylinders,fuel,odometer,transmission,drive,type,seats,engine_cc,max_power,age
bangalore,1769423,hyundai,alcazar,4.0,diesel,22201,automatic,fwd,suv,,,,4
bangalore,321000,renault,kwid,3.0,petrol,51816,manual,fwd,hatchback,,,,9
bangalore,1335078,kia,seltos,4.0,diesel,103555,manual,fwd,suv,,,,4
bangalore,386000,ford,figo,4.0,petrol,121872,manual,fwd,hatchback,,,,9
bangalore,256000,maruti suzuki,a-star,3.0,petrol,109613,automatic,fwd,hatchback,,,,14
bangalore,314000,hyundai,eon,3.0,petrol,75617,manual,fwd,hatchback,,,,10
bangalore,939000,hyundai,verna,4.0,petrol,26484,automatic,fwd,sedan,,,,8
bangalore,319000,renault,kwid,3.0,petrol,97286,automatic,fwd,hatchback,,,,9
bangalore,899000,mahindra,xuv 300,4.0,diesel,45918,automatic,fwd,suv,,,,7
bangalore,311000,mahindra,kuv100,3.0,petrol,91202,manual,fwd,crossover,,,,10
bangalore,301000,datsun,go,3.0,petrol,40138,manual,fwd,hatchback,,,,8
bangalore,256000,datsun,go,3.0,petrol,58781,manual,fwd,hatchback,,,,9
bangalore,271000,datsun,redi-go,3.0,petrol,67598,manual,fwd,hatchback,,,,8
bangalore,533000,hyundai,grand i10,4.0,petrol,28296,manual,fwd,hatchback,,,,7
bangalore,236000,ford,figo,4.0,petrol,96383,manual,fwd,hatchback,,,,13
bangalore,1027073,kia,sonet,4.0,diesel,37294,manual,fwd,suv,,,,4
bangalore,452000,hyundai,grand i10,4.0,petrol,32775,manual,fwd,hatchback,,,,10
bangalore,1286643,maruti suzuki,xl6,4.0,petrol,40830,automatic,fwd,muv,,,,3
bangalore,434000,hyundai,grand i10,4.0,petrol,123773,manual,fwd,hatchback,,,,10
bangalore,1244223,kia,carens,4.0,petrol,86108,manual,fwd,muv,,,,4
bangalore,225000,maruti suzuki,alto 800,3.0,petrol,78402,manual,fwd,hatchback,,,,13
bangalore,3726758,audi,q3,4.0,petrol,25545,automatic,,suv,,,,4
bangalore,747000,tata,altroz,3.0,petrol,19551,manual,fwd,hatchback,,,,3
bangalore,307000,renault,kwid,3.0,petrol,48882,manual,fwd,hatchback,,,,10
bangalore,366578,maruti suzuki,celerio,3.0,petrol,64921,automatic,fwd,hatchback,,,,12
bangalore,645000,renault,kiger,3.0,petrol,22676,automatic,fwd,suv,,,,4
bangalore,371000,maruti suzuki,wagon r,3.0,petrol,18049,manual,fwd,hatchback,,,,11
bangalore,383000,maruti suzuki,wagon r,3.0,petrol,51647,manual,fwd,hatchback,,,,10
bangalore,242000,maruti suzuki,alto,3.0,petrol,31814,manual,fwd,hatchback,,,,14
bangalore,589000,hyundai,verna,4.0,petrol,105556,manual,fwd,sedan,,,,9
bangalore,283000,hyundai,i10,4.0,petrol,82007,manual,fwd,hatchback,,,,13
bangalore,1394668,kia,seltos,4.0,diesel,74563,automatic,fwd,suv,,,,5
bangalore,225000,maruti suzuki,alto 800,3.0,petrol,46863,manual,fwd,hatchback,,,,13
bangalore,382000,ford,figo,4.0,petrol,84312,manual,fwd,hatchback,,,,10
bangalore,282000,maruti suzuki,a-star,3.0,petrol,47813,automatic,fwd,hatchback,,,,13
bangalore,805000,hyundai,creta,4.0,petrol,81193,automatic,fwd,suv,,,,10
bangalore,662000,renault,triber,3.0,petrol,17100,manual,fwd,muv,,,,4
bangalore,215000,maruti suzuki,wagon r,3.0,petrol,79831,manual,,hatchback,,,,15
bangalore,1190693,mg motors,hector plus,4.0,petrol,49347,manual,fwd,suv,,,,5
bangalore,2979358,mercedes-benz,glc,4.0,diesel,44481,automatic,awd,wagon,,,,9
bangalore,376000,maruti suzuki,celerio,3.0,petrol,64247,automatic,fwd,hatchback,,,,11
bangalore,376000,hyundai,xcent,4.0,petrol,80589,manual,fwd,sedan,,,,12
bangalore,395000,hyundai,verna,4.0,petrol,92598,manual,fwd,sedan,,,,12
bangalore,1186000,maruti suzuki,xl6,4.0,petrol,22388,manual,fwd,muv,,,,3
bangalore,1375523,kia,seltos,4.0,diesel,48596,automatic,fwd,suv,,,,6
bangalore,559000,honda,amaze,4.0,petrol,37542,automatic,fwd,sedan,,,,8
bangalore,464000,renault,kwid,3.0,petrol,29139,manual,fwd,hatchback,,,,3
bangalore,349000,hyundai,i10,4.0,petrol,43089,manual,fwd,hatchback,,,,12
bangalore,274000,maruti suzuki,alto 800,3.0,petrol,46894,manual,fwd,hatchback,,,,12
bangalore,226000,hyundai,i10,4.0,petrol,43858,manual,,hatchback,,,,15
bangalore,292000,maruti suzuki,alto k10,3.0,petrol,75146,manual,fwd,hatchback,,,,10
bangalore,479000,tata,tigor,3.0,petrol,91378,automatic,fwd,sedan,,,,8
bangalore,357000,honda,amaze,4.0,petrol,117375,manual,fwd,sedan,,,,13
bangalore,944000,tata,altroz,4.0,diesel,49077,manual,fwd,hatchback,,,,2
bangalore,447000,honda,jazz,4.0,petrol,110412,manual,fwd,hatchback,,,,9
bangalore,404000,maruti suzuki,wagon r,3.0,petrol,52315,manual,fwd,hatchback,,,,9
bangalore,275000,hyundai,eon,3.0,petrol,41401,manual,fwd,hatchback,,,,12
bangalore,222000,maruti suzuki,alto 800,3.0,petrol,57810,manual,fwd,hatchback,,,,13
bangalore,525000,maruti suzuki,wagon r,4.0,petrol,43179,automatic,fwd,hatchback,,,,5
bangalore,1160348,kia,sonet,4.0,diesel,79077,automatic,fwd,suv,,,,4
bangalore,314000,renault,kwid,3.0,petrol,70858,manual,fwd,hatchback,,,,8
bangalore,573000,maruti suzuki,ciaz,4.0,petrol,102177,manual,fwd,sedan,,,,9
bangalore,286000,hyundai,i20,,petrol,72780,manual,,hatchback,,,,15
bangalore,289000,maruti suzuki,wagon r 1.0,3.0,cng,69081,manual,,hatchback,,,,15
bangalore,345000,renault,kwid,3.0,petrol,30374,manual,fwd,hatchback,,,,9
bangalore,537000,volkswagen,ameo,3.0,petrol,95963,manual,fwd,sedan,,,,8
bangalore,395000,hyundai,xcent,4.0,petrol,122747,automatic,fwd,sedan,,,,11
bangalore,428000,hyundai,grand i10,3.0,diesel,73658,manual,fwd,hatchback,,,,10
bangalore,1011032,kia,sonet,4.0,diesel,54328,automatic,fwd,suv,,,,6
bangalore,1148000,kia,seltos,4.0,petrol,44860,manual,fwd,suv,,,,5
bangalore,699000,tata,tigor,3.0,cng,32535,manual,fwd,sedan,,,,4
bangalore,284000,hyundai,i10,4.0,petrol,51449,manual,fwd,hatchback,,,,14
bangalore,1185643,mg motors,hector,4.0,petrol,56121,automatic,,suv,,,,7
bangalore,916000,hyundai,creta,4.0,petrol,70711,automatic,fwd,suv,,,,9
bangalore,366000,maruti suzuki,alto 800,3.0,petrol,42797,manual,fwd,hatchback,,,,4
bangalore,448000,maruti suzuki,celerio,3.0,petrol,33518,automatic,fwd,hatchback,,,,8
bangalore,805000,tata,altroz,4.0,diesel,33385,manual,fwd,hatchback,,,,4
bangalore,1198773,hyundai,verna,4.0,petrol,16624,manual,fwd,sedan,,,,3
bangalore,460000,volkswagen,polo,3.0,petrol,124416,manual,fwd,hatchback,,,,11
bangalore,265000,hyundai,i10,4.0,petrol,62086,manual,fwd,hatchback,,,,13
bangalore,272000,ford,figo,4.0,petrol,82978,manual,fwd,hatchback,,,,13
bangalore,355000,maruti suzuki,celerio,3.0,petrol,71773,manual,fwd,hatchback,,,,9
bangalore,228000,ford,figo,4.0,petrol,66479,manual,fwd,hatchback,,,,14
bangalore,1920923,mahindra,xuv700,4.0,diesel,22357,manual,fwd,suv,,,,2
bangalore,304000,hyundai,xcent,4.0,petrol,112123,manual,fwd,sedan,,,,12
bangalore,303000,nissan,micra active,3.0,petrol,77567,manual,fwd,hatchback,,,,12
bangalore,454000,honda,city,4.0,petrol,103040,manual,fwd,sedan,,,,12
bangalore,562000,hyundai,elite i20,4.0,petrol,44174,manual,fwd,hatchback,,,,10
