type,transmission,fuel,price,engine_cc,max_power,cylinders,seats,model,manufacturer,odometer,region,drive,age
hatchback,manual,cng,575000.0,998.0,58.33,3.0,5.0,wagon r,maruti,11568,new delhi,fwd,5
hatchback,manual,cng,300000.0,998.0,58.16,3.0,5.0,wagon r,maruti,63954,pune,fwd,13
sedan,manual,cng,190000.0,1495.0,93.7,4.0,5.0,accent,hyundai,120000,aligarh,fwd,13
hatchback,manual,cng,580000.0,998.0,58.33,3.0,5.0,wagon r,maruti,23484,noida,fwd,5
minivans,manual,cng,493000.0,1196.0,61.7,4.0,5.0,eeco,maruti,15000,kengeri,rwd,6
,manual,cng,530000.0,1197.0,70.67,4.0,5.0,eeco,maruti,25000,kanpur,,4
,manual,cng,620000.0,1197.0,70.67,4.0,5.0,eeco,maruti,9955,gurgaon,,4
sedan,manual,cng,301000.0,1497.0,116.3,4.0,5.0,city,honda,130000,rajkot,fwd,14
minivans,manual,cng,500000.0,1196.0,61.68,4.0,5.0,eeco,maruti,62386,new delhi,,5
hatchback,manual,cng,300000.0,796.0,40.3,3.0,5.0,alto 800,maruti,83949,gurgaon,fwd,8
muv,manual,cng,600000.0,1373.0,80.9,4.0,7.0,ertiga,maruti,83500,mumbai,fwd,12
minivans,manual,cng,390000.0,1196.0,61.7,4.0,5.0,eeco,maruti,140000,visnagar,rwd,7
hatchback,manual,cng,275000.0,998.0,58.16,3.0,5.0,wagon r,maruti,79000,mumbai,fwd,14
hatchback,manual,cng,540000.0,1086.0,58.0,4.0,5.0,santro,hyundai,75000,pune,fwd,7
hatchback,manual,cng,320000.0,998.0,58.16,3.0,5.0,wagon r,maruti,70000,mumbai,fwd,12
muv,manual,cng,790000.0,1373.0,80.46,4.0,7.0,ertiga,maruti,20000,mumbai,fwd,10
minivans,manual,cng,350000.0,1196.0,73.0,4.0,5.0,eeco,maruti,71000,mumbai,rwd,13
hatchback,manual,cng,250000.0,796.0,47.3,3.0,5.0,alto 800,maruti,72141,new delhi,fwd,10
hatchback,manual,cng,225000.0,796.0,47.3,3.0,5.0,alto 800,maruti,125893,gurgaon,fwd,11
hatchback,manual,cng,300000.0,998.0,58.16,3.0,5.0,wagon r,maruti,60783,bangalore,fwd,12
hatchback,manual,cng,515000.00000000006,998.0,58.33,3.0,5.0,wagon r,maruti,7270,noida,fwd,5
minivans,manual,cng,575000.0,1196.0,61.68,4.0,5.0,eeco,maruti,35000,thane,,6
hatchback,manual,cng,385000.0,998.0,58.33,3.0,5.0,wagon r,maruti,51000,noida,fwd,10
hatchback,manual,cng,500000.0,998.0,58.33,3.0,5.0,wagon r,maruti,34525,new delhi,fwd,6
muv,manual,cng,600000.0,1373.0,80.46,4.0,7.0,ertiga,maruti,106871,sonipat,fwd,10
hatchback,manual,cng,295000.0,998.0,58.2,3.0,5.0,wagon r,maruti,76000,mumbai,fwd,14
hatchback,manual,cng,155000.0,796.0,47.3,3.0,5.0,alto 800,maruti,100000,greater noida,fwd,13
sedan,manual,cng,140000.0,1495.0,93.7,4.0,5.0,accent,hyundai,120000,morbi,fwd,16
hatchback,manual,cng,290000.0,796.0,40.3,3.0,5.0,alto 800,maruti,94129,new delhi,fwd,9
hatchback,manual,cng,200000.0,998.0,58.2,3.0,5.0,wagon r,maruti,78917,new delhi,fwd,14
hatchback,manual,cng,235000.0,998.0,58.16,3.0,5.0,wagon r,maruti,124076,ghaziabad,fwd,11
hatchback,manual,cng,270000.0,1086.0,,4.0,5.0,santro xing,hyundai,100000,rajkot,,12
hatchback,manual,cng,310000.0,998.0,58.16,3.0,5.0,wagon r,maruti,40562,new delhi,fwd,10
